country,code,courses,college,city,type
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Apollo Institute of Medical Sciences and Research, Chittoor",Chittoor,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Apollo Institute of Medical Sciences and Research, Hyderabad",Hyderabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Armed Forces Medical College,Pune,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Army College of Medical Sciences,New Delhi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Arunai Medical College and Hospital,Tiruvannamalai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Arundathi Institute of Medical Sciences,Hyderabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Ashwini Rural Medical College, Hospital and Research Centre",Solapur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Assam Medical College,Dibrugarh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Atal Bihari Vajpayee Institute of Medical Sciences and Dr. Ram Manohar Lohia Hospital,New Delhi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College and Hospital Auraiya,Auraiya,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College and Hospital Firozabad,Firozabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College and Hospital Gonda,Gonda,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College and Hospital Kaushambi,Kaushambi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College and Hospital Lakhimpur Kheri,Lakhimpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Basti,Rampur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Etah,Etah,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Fatehpur,Fatehpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Ghazipur,Ghazipur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Hardoi,Hardoi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Kushinagar,Kushinagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Mirzapur,Mirzapur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Pilibhit,Pilibhit,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Pratapgarh,Pratapgarh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Siddharthnagar,Siddharthnagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Autonomous State Medical College Sultanpur,Sultanpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Autonomous State Medical College, Akbarpur",Akbarpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Autonomous State Medical College, Lalitpur",Lalitpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Autonomous State Medical College, Sonebhadra",Robertsganj,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Ayaan Institute of Medical Sciences,Kanaka Mamidi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Azeezia Institute of Medical Science,Kollam,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,B.G.S. Global Institute of Medical Sciences,Bangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"B.J. Government Medical College, Pune",Pune,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"B.J. Medical College, Ahmedabad",Ahmedabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,B.K.L. Walawalkar Rural Medical College,Chiplun,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,B.P.S. Government Medical College for Women,Sonepat,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Baba Kina Ram Autonomous State Medical College and Hospital,Chandauli,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Baba Raghav Das Medical College,Gorakhpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Banas Medical College and Research Institute,Palanpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bangalore Medical College and Research Institute,Bangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bankura Sammilani Medical College,Bankura,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Barasat Government Medical College and Hospital,Barasat,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Basaveshwara Medical College and Hospital,Chitradurga,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Belgaum Institute of Medical Sciences,Belgaum,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Believers Church Medical College and Hospital,Thiruvalla,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bhaarath Medical College and Hospital,Chennai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bhagwan Mahavir Institute of Medical Sciences,Pawapuri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bhagyoday Medical College,Kadi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bharat Ratna Late Shri Atal Bihari Vajpyee Memorial Medical College,Rajnandgaon,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Bharati Vidyapeeth (Deemed to be University) Medical College & Hospital, Sangli",Sangli,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Bharati Vidyapeeth Medical College, Pune",Pune,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bharatratna Atal Bihari Vajpayee Medical College Pune,Pune,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bhaskar Medical College,Yenkapally,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bhima Bhoi Medical College & Hospital,Balangir,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bidar Institute of Medical Sciences,Bidar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Bundelkhand Medical College,Sagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Burdwan Medical College,Burdwan,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,C.U. Shah Medical College,Surendra Nagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Calcutta National Medical College,Kolkata,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Career Institute of Medical Sciences & Hospital,Lucknow,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chalmeda Anand Rao Institute of Medical Sciences,Karimnagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chamarajanagar Institute of Medical Sciences,Chamarajanagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Chandulal Chandrakar Memorial Government Medical College, Durg",Durg,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chengalpattu Medical College,Chengalpattu,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chettinad Hospital & Research Institute,Kancheepuram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chhattisgarh Institute of Medical Sciences,Bilaspur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chikkaballapura Institute of Medical Sciences,Chikkaballap,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chikkamagaluru Institute of Medical Sciences,Chikkamagaluru,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Chintpurni Medical College and Hospital, Gurdaspur",Pathankot,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chirayu Medical College and Hospital,Bhopal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Chitradurga Medical College and Research Institute,Chitradurga,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Christian Medical College, Ludhiana",Ludhiana,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Christian Medical College, Vellore",Vellore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,CMR Institute of Medical Sciences,Hyderabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Coimbatore Medical College,Coimbatore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,College of Medicine and J.N.M. Hospital,Kalyani,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,College of Medicine and Sagore Dutta Hospital,Kolkata,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"D.Y. Patil Medical College, Kolhapur",Kolhapur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,D.Y. Patil University School of Medicine,Navi Mumbai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Darbhanga Medical College and Hospital,Leheriasarai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Datta Meghe Medical College Nagpur,Nagpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dayanand Medical College,Ludhiana,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Deccan College of Medical Sciences,Hyderabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital,Perambalur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Dhanalakshmi Srinivasan Medical College and Hospital, Perambalur",Siruvachur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dharanidhar Medical College and Hospital (DDMCH),Keonjhar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dhubri Medical College,Dhubri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Diamond Harbour Government Medical College and Hospital,Diamond Harbour,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Diphu Medical College and Hospital, Assam",Diphu,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. B.R. Ambedkar Medical College,Bangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. B.R. Ambedkar State Institute of Medical Sciences SAS Nagar Mohali,Mohali,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. B.S. Kushwah Institute of Medical Sciences,Kanpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Baba Saheb Ambedkar Medical College,New Delhi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Balasaheb Vikhe Patil Rural Medical College,Loni,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Chandramma Dayananda Sagar Institute of Medical Education and Research,Hubli,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Dr. D.Y. Patil Medical College, Hospital and Research Centre",Pimpri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Kiran C. Patel Medical College and Research Institute,Bharuch,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. KNS Memorial Institute of Medical Sciences,Barabanki,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. M.G.R. Educational and Research Institute (Deemed University),Bangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. M.K. Shah Medical College & Research Centre,Ahmedabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Dr. Moopen's Medical College, Wayanad",Arapetta,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. N. Y. Tasgaonkar Institute of Medical Science,Raigad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. N.D. Desai Faculty of Medical Science and Research,Nadiad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Panjabrao Deshmukh Memorial Medical College,Amravati,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Patnam Mahender Reddy Institute of Medical Sciences,,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Pinnamaneni Siddhartha Institute of Medical Sciences,Chinna Avutapalli,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Radhakrishnan Government Medical College,Hamirpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Dr. Rajendra Gode Medical College, Amravati",Amravati,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Rajendra Prasad Government Medical College,Tanda,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. S.N. Medical College,Jodhpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. S.S. Tantia Medical College Hospital and Research Centre,Sri Ganganagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Dr. Shankarrao Chavan Government Medical College, Nanded",Nanded,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Somervell Memorial CSI Hospital & Medical College,Thiruvananthapuram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Ulhas Patil Medical College & Hospital,Jalgaon,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. V.R.K. Women's Medical College,Aziznagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Vaishampayan Memorial Medical College,Solapur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Vasantrao Pawar Medical College Hospital and Research Centre,Nashik,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Vithalrao Vikhe Patil Foundation's Medical College,Ahmednagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Yashwant Singh Parmar Government Medical College Nahan,Nahan,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"DRIEMS Institute of Health Sciences and Hospital, Kairapari",Cuttak,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,E.S.I.C. Medical College & Postgraduate Institute of Medical Sciences and Research,Chennai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"East Point College of Medical Sciences & Research Centre, Bangalore",Bangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,East West Institute of Medical Sciences and Research,Bardhhaman,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Employees State Insurance Corporation Medical College Alwar,Alwar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Employees' State Insurance Corporation Medical College, Bangalore",Bangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Employees' State Insurance Corporation Medical College, Faridabad",Faridabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Employees' State Insurance Corporation Medical College, Gulbarga",Kalaburagi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Employees' State Insurance Corporation Medical College, Joka",Kolkata,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Employees' State Insurance Corporation Medical College, Patna",Patna,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Employees' State Insurance Corporation Medical College, Sanathnagar",Hyderabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Era's Lucknow Medical College,Lucknow,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,F.H. Medical College & Hospital,Agra,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Faculty of Medicine and Health Sciences, Gurgaon",Gurgaon,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Fakhruddin Ali Ahmed Medical College and Hospital,Barpeta,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Fakir Mohan Medical College & Hospital, Balasore",Balasore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Father Colombo Institute of Medical Sciences,Warangal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Father Muller Medical College,Mangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Fathima Institute of Medical Sciences, Kadapa",Kadapa,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.C.S. Medical College, Hospital and Research Centre",Ahmedabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,G.M.E.R.S Medical College Morbi,Morbi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,G.M.E.R.S Medical College Porbandar,Porbandar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S Medical College, Navsari",Navsari,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S Medical College, Panchmahal Godhra",Panchmahal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S Medical College, Rajpipla",Rajpipla,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S. Medical College and Hospital, Dharpur Patan",Patan,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S. Medical College and Hospital, Gandhinagar",Gandhinagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S. Medical College and Hospital, Himmatnagar",Himmatnagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S. Medical College and Hospital, Sola",Ahmedabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S. Medical College, Gotri",Vadodara,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S. Medical College, Junagadh",Junagadh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S. Medical College, Vadnagar, Mehsana",Mehsana,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.M.E.R.S. Medical College, Valsad",Valsad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.S. Medical College & Hospital, Hapur",Hapur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"G.S.L. Medical College, Rajahmundry",Rajahmundry,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,G.S.V.M. Medical College,Kanpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Gadag Institute of Medical Sciences, Mallasamudra",Gadag,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gajra Raja Medical College,Gwalior,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Gandhi Medical College and Hospital, Secunderabad",Secunderabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Gandhi Medical College, Bhopal",Bhopal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gauhati Medical College,Guwahati,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gautam Buddha Chikitsa Mahavidyalaya Dehradum,Dehradun,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gayatri Vidya Parishad Institute of Health Care & Medical Technology,Visakhapatnam,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Geetanjali Medical College and Hospital,Udaipur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gian Sagar Medical College,Patiala,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,GITAM Institute of Medical Sciences and Research,Visakhapatnam,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Goa Medical College,Panaji,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gold Field Institute of Medical Sciences & Research,Faridabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gouri Devi Institute of Medical Sciences and Hospital,Rajbandh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Allopathic Medical College Banda,Banda,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Dharmapuri Medical College,Dharmapuri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Doon Medical College,Dehradun,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Erode Medical College and Hospital Perundurai,Perundurai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Institute of Medical Sciences, Uttar Pradesh",Greater Noida,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Kilpauk Medical College,Chennai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Medical College & ESIC Hospital, Coimbatore",Coimbatore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College & General Hospital Baramati,Baramati,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College & Super Facility Hospital Azamgarh,Azamgarh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Akola,Akola,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Alibag,Raigad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Ambikapur,Ambikapur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Amritsar,Amritsar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Anantapuramu,Anantapur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Anantnag,Anantnag,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Medical College and District Hospital, Ratnagiri",Ratnagiri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College and Hospital Cuddalore,Chidambaram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Medical College and Hospital, Haridwar",Haridwar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Medical College and Hospital, Jajpur",Jajpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Ariyalur,Ariyalur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Aurangabad,Aurangabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Badaun,Badaun,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Baramulla,Baramulla,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Barmer,Barmer,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Bettiah,Bettiah,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Bhavnagar,Bhavnagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Chandigarh,Chandigarh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Chandrapur,Chandrapur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Chhindwara,Chhindwara,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Chittorgarh,Chittorgarh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Datia,Datia,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Dindigul,Dindigul,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Medical College Doda,Doda,university
